gloss,dloss,dxloss,dgzloss
-0.45615968108177185,0.0004149973392486572,0.4561324119567871,0.45571741461753845
-0.5584607720375061,0.03824269771575928,0.592345118522644,0.5541024208068848
-0.9574486017227173,0.013722658157348633,0.9683182239532471,0.9545955657958984
-0.9999989867210388,9.5367431640625e-07,0.9999998807907104,0.999998927116394
-0.9999995231628418,4.76837158203125e-07,0.9999999403953552,0.999999463558197
-0.9999997019767761,2.980232238769531e-07,1.0,0.9999997019767761
-0.9999997019767761,2.980232238769531e-07,1.0,0.9999997019767761
-0.9999998807907104,1.1920928955078125e-07,1.0,0.9999998807907104
-0.9999998807907104,1.1920928955078125e-07,1.0,0.9999998807907104
-0.9999998807907104,1.1920928955078125e-07,1.0,0.9999998807907104
-0.9999998807907104,1.1920928955078125e-07,1.0,0.9999998807907104
-0.9999999403953552,5.960464477539063e-08,1.0,0.9999999403953552
-0.9999999403953552,5.960464477539063e-08,1.0,0.9999999403953552
-0.9999999403953552,5.960464477539063e-08,1.0,0.9999999403953552
-0.9999999403953552,5.960464477539063e-08,1.0,0.9999999403953552
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,1.0,1.0
